Run,Security,Year,Price,Delta,IsSplit,IsBust,Yield,AvgRateOfReturn
1,CCity Bonds,1,100,0,False,False,5,0.05
1,Growth Corp,1,117,17,False,False,1,0.18
1,Metro Prop,1,121,21,False,False,0,0.21
1,Pioneer,1,113,13,False,False,4,0.17
1,Shady,1,98,-2,False,False,0,-0.02
1,Stryker,1,137,37,False,False,0,0.37
1,Tri-City,1,123,23,False,False,0,0.23
1,United,1,123,23,False,False,2,0.25
1,Uranium,1,119,19,False,False,6,0.25
1,Valley Power,1,114,14,False,False,3,0.17
1,CCity Bonds,2,100,0,False,False,5,0.05
1,Growth Corp,2,123,6,False,False,1,0.11991452991453
1,Metro Prop,2,125,4,False,False,0,0.121528925619835
1,Pioneer,2,116,3,False,False,4,0.115973451327434
1,Shady,2,101,3,False,False,0,0.00530612244897954
1,Stryker,2,122,-15,False,False,0,0.130255474452555
1,Tri-City,2,128,5,False,False,0,0.135325203252033
1,United,2,131,8,False,False,2,0.165650406504065
1,Uranium,2,111,-8,False,False,6,0.116596638655462
1,Valley Power,2,119,5,False,False,3,0.120087719298246
1,CCity Bonds,3,100,0,False,False,5,0.05
1,Growth Corp,3,131,8,False,False,1,0.104333263845459
1,Metro Prop,3,131,6,False,False,0,0.0970192837465564
1,Pioneer,3,120,4,False,False,4,0.100304139965415
1,Shady,3,97,-4,False,False,0,-0.00966390516602685
1,Stryker,3,81,40,True,False,0,0.196126600454709
1,Tri-City,3,136,8,False,False,0,0.111050135501355
1,United,3,135,4,False,False,2,0.125700779908562
1,Uranium,3,99,-12,False,False,6,0.0597130744189568
1,Valley Power,3,122,3,False,False,3,0.0968652022212394
1,CCity Bonds,4,100,0,False,False,5,0.05
1,Growth Corp,4,136,5,False,False,1,0.0897003295634836
1,Metro Prop,4,138,7,False,False,0,0.0861232414358715
1,Pioneer,4,119,-1,False,False,4,0.0814781049740616
1,Shady,4,94,-3,False,False,0,-0.0149798876374067
1,Stryker,4,126,45,False,False,0,0.28598383922992
1,Tri-City,4,142,6,False,False,0,0.0943170133907222
1,United,4,125,-10,False,False,2,0.079460770116607
1,Uranium,4,109,10,False,False,6,0.085188846218258
1,Valley Power,4,126,4,False,False,3,0.0869931639610115
1,CCity Bonds,5,100,0,False,False,5,0.05
1,Growth Corp,5,77,17,True,False,1,0.101172028356669
1,Metro Prop,5,80,21,True,False,0,0.100782651119712
1,Pioneer,5,132,13,False,False,4,0.0937539125506778
1,Shady,5,92,-2,False,False,0,-0.0162392292588616
1,Stryker,5,82,37,True,False,0,0.289104531701397
1,Tri-City,5,83,23,True,False,0,0.109256427613986
1,United,5,148,23,False,False,2,0.103568616093286
1,Uranium,5,128,19,False,False,6,0.114022636607634
1,Valley Power,5,140,14,False,False,3,0.0965786581529362
1,CCity Bonds,6,100,0,False,False,5,0.05
1,Growth Corp,6,83,6,False,False,1,0.0994615387820728
1,Metro Prop,6,84,4,False,False,0,0.0923188759330931
1,Pioneer,6,135,3,False,False,4,0.086966644297282
1,Shady,6,95,3,False,False,0,-0.00809790844035566
1,Stryker,6,67,-15,False,False,0,0.210432638206448
1,Tri-City,6,88,5,False,False,0,0.101087183654225
1,United,6,78,8,True,False,2,0.0998206935912515
1,Uranium,6,120,-8,False,False,6,0.0924146971730282
1,Valley Power,6,145,5,False,False,3,0.0900060246512563
1,CCity Bonds,7,100,0,False,False,5,0.05
1,Growth Corp,7,100,17,False,False,1,0.116233814653136
1,Metro Prop,7,105,21,False,False,0,0.114844750799794
1,Pioneer,7,148,13,False,False,4,0.0925322559585169
1,Shady,7,93,-2,False,False,0,-0.00994858317444019
1,Stryker,7,104,37,False,False,0,0.25926209074412
1,Tri-City,7,111,23,False,False,0,0.12398381975557
1,United,7,101,23,False,False,2,0.131348140294333
1,Uranium,7,139,19,False,False,6,0.108974502338786
1,Valley Power,7,80,14,True,False,3,0.0978376763020621
1,CCity Bonds,8,100,0,False,False,5,0.05
1,Growth Corp,8,106,6,False,False,1,0.110454587821494
1,Metro Prop,8,109,4,False,False,0,0.105251061711725
1,Pioneer,8,76,3,True,False,4,0.0911008590988374
1,Shady,8,96,3,False,False,0,-0.00467275221311904
1,Stryker,8,89,-15,False,False,0,0.208825483247259
1,Tri-City,8,116,5,False,False,0,0.114116472916754
1,United,8,109,8,False,False,2,0.127305860381304
1,Uranium,8,131,-8,False,False,6,0.0935541283953587
1,Valley Power,8,85,5,False,False,3,0.0981079667643043
1,CCity Bonds,9,100,0,False,False,5,0.05
1,Growth Corp,9,117,11,False,False,1,0.11076047219353
1,Metro Prop,9,127,18,False,False,0,0.111905123152522
1,Pioneer,9,90,14,False,False,4,0.107294330894873
1,Shady,9,107,11,False,False,0,0.008577923958709
1,Stryker,9,78,67,True,False,0,0.269268094971346
1,Tri-City,9,131,15,False,False,0,0.115804680906847
1,United,9,131,22,False,False,2,0.137625596587662
1,Uranium,9,149,18,False,False,6,0.103515459337011
1,Valley Power,9,98,13,False,False,3,0.108122114248009
1,CCity Bonds,10,100,0,False,False,5,0.05
1,Growth Corp,10,129,12,False,False,1,0.110795536085288
1,Metro Prop,10,141,14,False,False,0,0.111738232884514
1,Pioneer,10,103,13,False,False,4,0.115453786694275
1,Shady,10,117,10,False,False,0,0.0170659259553615
1,Stryker,10,88,10,False,False,0,0.255161798294724
1,Tri-City,10,76,20,True,False,0,0.120254747167307
1,United,10,76,21,True,False,2,0.142947006394545
1,Uranium,10,87,25,True,False,6,0.117996128168411
1,Valley Power,10,106,8,False,False,3,0.108534392619127
2,CCity Bonds,1,100,0,False,False,5,0.05
2,Growth Corp,1,108,8,False,False,1,0.0900000000000001
2,Metro Prop,1,106,6,False,False,0,0.0600000000000001
2,Pioneer,1,104,4,False,False,4,0.0800000000000001
2,Shady,1,96,-4,False,False,0,-0.04
2,Stryker,1,140,40,False,False,0,0.4
2,Tri-City,1,108,8,False,False,0,0.0800000000000001
2,United,1,104,4,False,False,2,0.0600000000000001
2,Uranium,1,88,-12,False,False,6,-0.0600000000000001
2,Valley Power,1,103,3,False,False,3,0.0600000000000001
2,CCity Bonds,2,100,0,False,False,5,0.05
2,Growth Corp,2,116,8,False,False,1,0.0866666666666667
2,Metro Prop,2,112,6,False,False,0,0.0583018867924529
2,Pioneer,2,108,4,False,False,4,0.0784615384615385
2,Shady,2,92,-4,False,False,0,-0.0408333333333333
2,Stryker,2,90,40,True,False,0,0.342857142857143
2,Tri-City,2,116,8,False,False,0,0.0770370370370371
2,United,2,108,4,False,False,2,0.0588461538461539
2,Uranium,2,76,-12,False,False,6,-0.0640909090909091
2,Valley Power,2,106,3,False,False,3,0.059126213592233
2,CCity Bonds,3,100,0,False,False,5,0.05
2,Growth Corp,3,136,20,False,False,1,0.118122605363985
2,Metro Prop,3,127,15,False,False,0,0.083510781671159
2,Pioneer,3,123,15,False,False,4,0.110949667616334
2,Shady,3,99,7,False,False,0,-0.00185990338164255
2,Stryker,3,70,-20,False,False,0,0.154497354497354
2,Tri-City,3,131,15,False,False,0,0.0944614729672202
2,United,3,121,13,False,False,2,0.0855270655270655
2,Uranium,3,66,-10,False,False,6,-0.0602711323763956
2,Valley Power,3,118,12,False,False,3,0.0865872870489101
2,CCity Bonds,4,100,0,False,False,5,0.05
2,Growth Corp,4,81,26,True,False,1,0.140062542258283
2,Metro Prop,4,143,16,False,False,0,0.0941291492454953
2,Pioneer,4,148,25,False,False,4,0.142155340143145
2,Shady,4,107,8,False,False,0,0.0188070926657883
2,Stryker,4,56,-14,False,False,0,0.0658730158730159
2,Tri-City,4,76,21,True,False,0,0.110922440603278
2,United,4,135,14,False,False,2,0.0972031503849686
2,Uranium,4,62,-4,False,False,6,-0.0376275917065391
2,Valley Power,4,135,17,False,False,3,0.107313346642615
2,CCity Bonds,5,100,0,False,False,5,0.05
2,Growth Corp,5,88,7,False,False,1,0.131803120226379
2,Metro Prop,5,76,8,True,False,0,0.0878907319838088
2,Pioneer,5,77,5,True,False,4,0.132643191033435
2,Shady,5,101,-6,False,False,0,0.00383072086160261
2,Stryker,5,16,-40,False,False,0,-0.0901587301587301
2,Tri-City,5,79,3,False,False,0,0.0966326893247274
2,United,5,76,16,True,False,2,0.108873631419086
2,Uranium,5,48,-14,False,False,6,-0.0559085249781345
2,Valley Power,5,139,4,False,False,3,0.0962210476844622
2,CCity Bonds,6,100,0,False,False,5,0.05
2,Growth Corp,6,96,8,False,False,1,0.126881388067437
2,Metro Prop,6,82,6,False,False,0,0.0864001713900161
2,Pioneer,6,81,4,False,False,4,0.12785200984388
2,Shady,6,97,-4,False,False,0,-0.00340839268133776
2,Stryker,6,56,40,False,False,0,0.341534391534392
2,Tri-City,6,87,8,False,False,0,0.0974048782347412
2,United,6,80,4,False,False,2,0.103885920919414
2,Uranium,6,36,-12,False,False,6,-0.0674237708151121
2,Valley Power,6,142,3,False,False,3,0.087378451008035
2,CCity Bonds,7,100,0,False,False,5,0.05
2,Growth Corp,7,107,11,False,False,1,0.126612618343518
2,Metro Prop,7,100,18,False,False,0,0.105416174780293
2,Pioneer,7,95,14,False,False,4,0.141333468755072
2,Shady,7,108,11,False,False,0,0.0132788151096634
2,Stryker,7,123,67,False,False,0,0.463662131519274
2,Tri-City,7,102,15,False,False,0,0.108120437501699
2,United,7,102,22,False,False,2,0.131902217930926
2,Uranium,7,54,18,False,False,6,0.0374462916822849
2,Valley Power,7,78,13,True,False,3,0.0950165394958208
2,CCity Bonds,8,100,0,False,False,5,0.05
2,Growth Corp,8,105,-2,False,False,1,0.109617816751512
2,Metro Prop,8,106,6,False,False,0,0.099739152932756
2,Pioneer,8,92,-3,False,False,4,0.124982574634372
2,Shady,8,100,-8,False,False,0,0.00235970396169619
2,Stryker,8,103,-20,False,False,0,0.385379161827333
2,Tri-City,8,109,7,False,False,0,0.103183814186536
2,United,8,112,10,False,False,2,0.130120323042501
2,Uranium,8,68,14,False,False,6,0.0790618015182956
2,Valley Power,8,84,6,False,False,3,0.0975625489819201
2,CCity Bonds,9,100,0,False,False,5,0.05
2,Growth Corp,9,111,6,False,False,1,0.104845466742085
2,Metro Prop,9,110,4,False,False,0,0.0928498969465169
2,Pioneer,9,95,3,False,False,4,0.119549728177413
2,Shady,9,103,3,False,False,0,0.00543084796595217
2,Stryker,9,88,-15,False,False,0,0.326378025184166
2,Tri-City,9,114,5,False,False,0,0.0968157859028128
2,United,9,120,8,False,False,2,0.125583144291747
2,Uranium,9,60,-8,False,False,6,0.0670091830489425
2,Valley Power,9,89,5,False,False,3,0.0973042763437174
2,CCity Bonds,10,100,0,False,False,5,0.05
2,Growth Corp,10,120,9,False,False,1,0.103369929076886
2,Metro Prop,10,120,10,False,False,0,0.0926558163427742
2,Pioneer,10,102,7,False,False,4,0.119173702728092
2,Shady,10,98,-5,False,False,0,3.33942373181184E-05
2,Stryker,10,68,-20,False,False,0,0.271012949938477
2,Tri-City,10,126,12,False,False,0,0.0976605231020052
2,United,10,141,21,False,False,2,0.132191496529239
2,Uranium,10,78,18,False,False,6,0.100308264744048
2,Valley Power,10,96,7,False,False,3,0.0988098037655254
3,CCity Bonds,1,100,0,False,False,5,0.05
3,Growth Corp,1,117,17,False,False,1,0.18
3,Metro Prop,1,121,21,False,False,0,0.21
3,Pioneer,1,113,13,False,False,4,0.17
3,Shady,1,98,-2,False,False,0,-0.02
3,Stryker,1,137,37,False,False,0,0.37
3,Tri-City,1,123,23,False,False,0,0.23
3,United,1,123,23,False,False,2,0.25
3,Uranium,1,119,19,False,False,6,0.25
3,Valley Power,1,114,14,False,False,3,0.17
3,CCity Bonds,2,100,0,False,False,5,0.05
3,Growth Corp,2,130,13,False,False,1,0.14982905982906
3,Metro Prop,2,76,31,True,False,0,0.233099173553719
3,Pioneer,2,114,1,False,False,4,0.10712389380531
3,Shady,2,112,14,False,False,0,0.0614285714285714
3,Stryker,2,126,-11,False,False,0,0.14485401459854
